Cancer,RF_sens,RF_spec,XGB_sens,XGB_spec
Colon Cancer,0.935064935064935,1.0,0.9532467532467532,0.9959183673469388
Lung Cancer,0.85,1.0,0.7333333333333333,1.0
Breast Cancer,0.8774891774891774,1.0,0.9714285714285715,1.0
Prostate Cancer,0.9416666666666668,0.9870490286771508,0.9666666666666668,0.9871415356151712
